Frame,Label
0,None
1,None
2,None
3,None
4,None
5,None
6,None
7,None
8,None
9,Explore
10,Explore
11,None
12,Explore
13,Explore
14,None
15,Explore
16,Explore
17,Explore
18,Explore
19,Explore
20,Explore
21,Explore
22,Explore
23,Explore
24,Explore
25,Explore
26,Explore
27,Explore
28,Explore
29,Explore
30,Explore
31,Explore
32,Explore
33,Explore
34,Explore
35,Explore
36,Explore
37,Explore
38,Explore
39,Explore
40,Explore
41,Explore
42,Explore
43,box1
44,box1
45,box1
46,box1
47,box1
48,box1
49,box1
50,box1
51,box1
52,box1
53,box1
54,box1
55,box1
56,box1
57,box1
58,box1
59,box1
60,box1
61,box1
62,box1
63,box1
64,box1
65,box1
66,box1
67,box1
68,box1
69,box1
70,box1
71,box1
72,box1
73,box1
74,box1
75,box1
76,box1
77,box1
78,box1
79,box1
80,box1
81,box1
82,box1
83,box1
84,box1
85,box1
86,box1
87,box1
88,box1
89,box1
90,box1
91,box1
92,box1
93,box1
94,box1
95,box1
96,box1
97,box1
98,box1
99,box1
100,box1
101,box1
102,box1
103,box1
104,box1
105,box1
106,box1
107,box1
108,box1
109,box1
110,box1
111,box1
112,box1
113,box1
114,box1
115,box1
116,box1
117,box1
118,box1
119,box1
120,box1
121,box1
122,box1
123,box1
124,box1
125,box1
126,box1
127,box1
128,box1
129,box1
130,box1
131,box1
132,box1
133,box1
134,box1
135,box1
136,box1
137,box1
138,box1
139,box1
140,box1
141,box1
142,box1
143,box1
144,box1
145,box1
146,box1
147,box1
148,box1
149,None
150,None
151,None
152,None
153,None
154,None
155,None
156,None
157,None
158,None
159,None
160,None
161,None
162,None
163,None
164,None
165,None
166,None
167,None
168,None
169,None
170,None
171,None
172,None
173,None
174,None
175,None
176,None
177,None
178,None
179,None
180,None
181,None
182,None
183,None
184,None
185,None
186,None
187,None
188,None
189,None
190,None
191,None
192,None
193,None
194,None
195,None
196,None
197,None
198,None
199,None
200,None
201,None
202,None
203,None
204,None
205,None
206,None
207,None
208,None
209,None
210,None
211,None
212,None
213,None
214,None
215,None
216,None
217,None
218,None
219,None
220,None
221,None
222,None
223,None
224,None
225,None
226,None
227,None
228,None
229,None
230,None
231,None
232,None
233,None
234,None
235,None
236,None
237,None
238,None
239,None
240,None
241,None
242,None
243,None
244,None
245,None
246,None
247,None
248,None
249,None
250,None
251,None
252,None
253,None
254,None
255,None
256,None
257,None
258,None
259,None
260,None
261,None
262,None
263,None
264,None
265,None
266,None
267,None
268,None
269,None
270,None
271,None
272,None
273,None
274,None
275,None
276,None
277,None
278,None
279,None
280,None
281,None
282,None
283,None
284,None
285,None
286,None
287,None
288,None
289,None
290,None
291,None
292,None
293,None
294,None
295,None
296,None
297,None
298,None
299,None
300,None
301,None
302,None
303,None
304,None
305,None
306,None
307,None
308,None
309,None
310,None
311,None
312,None
313,None
314,None
315,None
316,None
317,None
318,None
319,None
320,None
321,None
322,None
323,None
324,None
325,None
326,None
327,None
328,None
329,None
330,None
331,None
332,None
333,None
334,None
335,None
336,None
337,None
338,None
339,None
340,None
341,None
342,None
343,None
344,None
345,None
346,None
347,None
348,None
349,None
350,None
351,None
352,None
353,None
354,None
355,None
356,None
357,None
358,None
359,None
360,None
361,None
362,None
363,None
364,None
365,None
366,None
367,None
368,None
369,None
370,None
371,None
372,None
373,None
374,None
375,None
376,None
377,None
378,None
379,None
380,None
381,None
382,None
383,None
384,None
385,None
386,None
387,None
388,None
389,None
390,None
391,None
392,None
393,None
394,None
395,None
396,None
397,None
398,None
399,None
400,None
401,None
402,None
403,None
404,None
405,None
406,None
407,None
408,None
409,None
410,None
411,None
412,None
413,None
414,None
415,None
416,None
417,None
418,None
419,None
420,None
421,None
422,None
423,None
424,None
425,None
426,None
427,None
428,None
429,None
430,None
431,None
432,None
433,None
434,None
435,None
436,None
437,None
438,None
439,None
440,None
441,None
442,None
443,None
444,None
445,None
446,None
447,None
448,None
449,None
450,None
451,None
452,None
453,None
454,None
455,None
456,None
457,None
458,box1
459,box1
460,box1
461,box1
462,box1
463,box1
464,box1
465,box1
466,box1
467,box1
468,box1
469,box1
470,box1
471,box1
472,box1
473,box1
474,box1
475,box1
476,box1
477,box1
478,box1
479,box1
480,box1
481,box1
482,box1
483,box1
484,box1
485,box1
486,box1
487,box1
488,box1
489,None
490,Explore
491,Explore
492,None
493,Explore
494,Explore
495,Explore
496,Explore
497,Explore
498,Explore
499,Explore
500,Explore
501,Explore
502,Explore
503,Explore
504,Explore
505,Explore
506,Explore
507,Explore
508,Explore
509,Explore
510,Explore
511,Explore
512,Explore
513,Explore
514,Explore
515,Explore
516,Explore
517,Explore
518,Explore
519,Explore
520,None
521,None
522,None
523,None
524,None
525,None
526,None
527,None
528,None
529,None
530,None
531,None
532,None
533,None
534,None
